ON569258	sp|A0A2R6QXF8|F3GGT_ACTCC	48.5	456	1.82e-150	433	99.5
GWHPBECS000042	sp|Q9SWB4|PARP3_SOYBN	61.4	805	0.0	1009	99.4
GWHPBECS000096	sp|Q8VZJ0|SIA1_ARATH	81.2	447	2.83e-276	754	93.2
GWHPBECS000143	sp|O77783|EXT2_BOVIN	28.0	175	1.18e-07	52.4	31.6
GWHPBECS000169	sp|Q9M8J2|GATL4_ARATH	73.4	334	1.30e-195	540	94.3
GWHPBECS000407	sp|H6TFZ4|SUS5_ORYSJ	43.3	90	8.91e-16	70.9	51.1
GWHPBECS000444	sp|Q9M146|MGP4_ARATH	22.0	337	5.10e-08	52.4	89.1
GWHPBECS000445	sp|Q9ZSJ2|RGXT1_ARATH	24.1	137	3.18e-07	49.7	40.2
GWHPBECS000577	sp|E3W9M3|AA7GT_DELGR	63.0	495	6.24e-236	655	95.3
GWHPBECS000578	sp|E3W9M3|AA7GT_DELGR	56.9	485	9.55e-204	574	93.0
GWHPBECS000624	sp|O50017|PARP2_MAIZE	58.6	706	1.83e-271	759	100
GWHPBECS000684	sp|Q10LP5|SUS4_ORYSJ	80.5	802	0.0	1336	97.1
GWHPBECS000785	sp|Q8VYF4|GATL7_ARATH	77.6	361	1.49e-215	591	100
GWHPBECS000786	sp|Q9SRW9|CSLD5_ARATH	76.5	1191	0.0	1832	99.8
GWHPBECS000885	sp|E3W9M3|AA7GT_DELGR	40.7	479	9.22e-116	351	83.3
GWHPBECS000886	sp|E3W9M3|AA7GT_DELGR	42.1	480	3.84e-126	378	84.0
GWHPBECS000890	sp|E3W9M3|AA7GT_DELGR	40.9	482	1.69e-118	358	85.7
GWHPBECS000895	sp|E3W9M2|AA5GT_DIACA	57.1	35	5.76e-09	49.7	38.5
GWHPBECS000896	sp|E3W9M3|AA7GT_DELGR	42.9	56	2.98e-09	52.4	40.3
GWHPBECS000898	sp|E3W9M3|AA7GT_DELGR	33.8	201	9.86e-26	102	94.3
GWHPBECS000903	sp|E3W9M3|AA7GT_DELGR	39.2	477	1.55e-112	342	86.1
GWHPBECS001040	sp|Q4V398|RRT1_ARATH	54.4	419	3.66e-145	420	92.7
GWHPBECS001198	sp|Q9AR73|HQGT_RAUSE	65.0	463	7.15e-223	619	98.9
GWHPBECS001199	sp|Q9AR73|HQGT_RAUSE	54.0	161	4.31e-50	165	96.1
GWHPBECS001214	sp|C7G304|GOLS2_SOLLC	75.8	343	5.07e-198	545	100
GWHPBECS001217	sp|C7G304|GOLS2_SOLLC	75.5	343	4.15e-197	543	100
GWHPBECS001219	sp|C7G304|GOLS2_SOLLC	71.0	338	1.47e-182	507	94.1
GWHPBECS001220	sp|C7G304|GOLS2_SOLLC	72.6	339	2.69e-187	518	100
GWHPBECS001221	sp|C7G304|GOLS2_SOLLC	72.6	339	2.69e-187	518	100
GWHPBECS001222	sp|C7G304|GOLS2_SOLLC	73.4	244	1.39e-136	385	100
GWHPBECS001223	sp|C7G304|GOLS2_SOLLC	73.4	244	1.39e-136	385	100
GWHPBECS001224	sp|C7G304|GOLS2_SOLLC	73.5	306	4.29e-173	481	95.5
GWHPBECS001303	sp|Q9ASW1|B3GTG_ARATH	52.8	648	6.82e-231	652	100
GWHPBECS001321	sp|A0A0A6ZFY4|UGT29_PANGI	47.8	452	2.43e-136	399	93.1
GWHPBECS001520	sp|Q9SHJ3|CALS7_ARATH	56.9	397	2.09e-128	414	60.1
GWHPBECS001660	sp|Q8GWB7|GUX6_ARATH	66.9	537	1.34e-247	687	98.5
GWHPBECS001699	sp|Q8RQU9|CTSZ_SPOGL	21.5	553	2.90e-21	98.6	56.2
GWHPBECS001776	sp|J9VNT4|CHS5_CRYN9	32.2	463	1.10e-55	212	29.3
GWHPBECS001860	sp|Q08654|TRPGD_THEMA	30.9	330	1.17e-29	124	30.9
GWHPBECS001896	sp|Q10I20|XAT3_ORYSJ	44.1	406	1.01e-115	349	89.3
GWHPBECS002024	sp|C4B4E5|ATG26_GLOLA	43.9	41	4.95e-06	47.0	11.1
GWHPBECS002215	sp|Q9S9U0|CALSB_ARATH	84.8	66	1.35e-32	118	53.7
GWHPBECS002303	sp|Q6DBG8|ARAD1_ARATH	59.5	464	1.11e-188	532	94.5
GWHPBECS002448	sp|E3W9M3|AA7GT_DELGR	41.8	481	3.70e-126	377	85.3
GWHPBECS002449	sp|A0AAW1I778|GH1_SAPOF	37.5	152	6.03e-27	102	91.5
GWHPBECS002455	sp|A2ELE6|ALG5C_TRIV3	38.3	193	4.99e-32	120	62.9
GWHPBECS002507	sp|Q93ZX7|GAUT4_ARATH	67.2	421	3.80e-203	574	90.7
GWHPBECS002578	sp|Q53UH5|DUSKY_IPOPU	40.1	242	1.29e-54	179	94.8
GWHPBECS002579	sp|Q9FN26|U79B6_ARATH	43.0	372	2.40e-109	325	99.7
GWHPBECS002649	sp|Q94K98|Y1720_ARATH	35.8	352	2.48e-70	229	92.5
GWHPBECS002691	sp|Q9M8Z7|U80A2_ARATH	77.1	558	6.13e-319	873	100
GWHPBECS002737	sp|Q9M2R0|FTIP3_ARATH	66.3	777	0.0	1049	75.3
GWHPBECS002754	sp|Q9FLD7|GT14A_ARATH	51.1	366	2.46e-134	392	83.1
GWHPBECS002775	sp|E3W9M3|AA7GT_DELGR	45.0	480	5.08e-138	406	94.4
GWHPBECS002776	sp|E3W9M3|AA7GT_DELGR	43.2	451	7.17e-120	360	84.1
GWHPBECS002777	sp|E3W9M3|AA7GT_DELGR	43.9	487	2.35e-133	394	93.9
GWHPBECS002781	sp|A0A2R6QXF8|F3GGT_ACTCC	48.5	456	3.65e-150	432	99.5
GWHPBECS002782	sp|A0A2R6QXF8|F3GGT_ACTCC	48.5	456	4.82e-150	432	100
GWHPBECS002783	sp|O81010|U79B8_ARATH	43.6	259	7.00e-62	198	98.7
GWHPBECS002833	sp|Q8H1E6|OFUT9_ARATH	68.2	534	9.88e-271	749	89.7
GWHPBECS002895	sp|F8WKW1|UGT2_GARJA	64.5	476	7.70e-228	633	97.1
GWHPBECS002962	sp|U5NH37|7DLGT_CATRO	44.1	469	4.48e-130	382	96.2
GWHPBECS003076	sp|P31166|APT1_ARATH	79.1	91	6.77e-44	142	74.0
GWHPBECS003077	sp|Q9SU38|APT4_ARATH	73.2	82	4.73e-36	120	63.1
GWHPBECS003121	sp|Q9ZT82|CALSC_ARATH	64.4	798	0.0	927	99.6
GWHPBECS003134	sp|G5DAC7|XTH2_DIOKA	37.3	300	9.62e-64	202	87.4
GWHPBECS003170	sp|Q9FFN2|GLYT3_ARATH	60.8	204	4.18e-91	274	100
GWHPBECS003325	sp|Q9FLD7|GT14A_ARATH	45.5	420	3.88e-139	403	97.1
GWHPBECS003383	sp|Q10I20|XAT3_ORYSJ	48.4	370	4.24e-122	364	88.2
GWHPBECS003418	sp|Q9SS43|MUC21_ARATH	53.3	490	9.34e-163	469	92.2
GWHPBECS003544	sp|Q6DBG8|ARAD1_ARATH	36.6	123	1.54e-15	74.7	31.6
GWHPBECS003545	sp|Q6DBG8|ARAD1_ARATH	29.7	229	4.81e-23	95.9	61.7
GWHPBECS003549	sp|Q6DW73|DGDG2_LOTJA	71.0	458	1.29e-248	684	97.4
GWHPBECS003599	sp|Q6DBG8|ARAD1_ARATH	31.1	396	5.71e-56	191	72.8
